微博id,发布者,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
I2tEE4ifN,xhy老鼠,xhy老鼠:李嘉诚发声 回应刊登广告事宜 #反暴力护香港# xhy老鼠的微博视频  ,无,无,2019-08-16 13:30 ,360安全浏览器,6,3,0
I2tEChEcG,何天恩,何天恩:第一次听脏话，听得热泪盈眶，哈哈。。南澳州大学里面的中国留学生和废青对骂 四字国骂振聋发聩 #5人涉嫌侮辱国旗被香港警方拘捕##驻英大使记者会播香港局势短片# 雷希颖的微博视频  ,无,无,2019-08-16 13:30 ,微博 weibo.com,1962,417,272
I2tExyvgq,藏蓝观察,藏蓝观察:#驻英大使记者会播香港局势短片#我就问问 播放的是不是这部专题片？？？藏蓝观察的微博视频 #天下之事[超话]#  ,无,无,2019-08-16 13:30 ,天下之事超话,145,57,23
I2tEr874Y,中国新闻周刊,中国新闻周刊:【#香港133万人将免交工资税# 香港特区政府出台一系列措施纾民困】#香港特区政府将投191亿港元纾民困#15日，香港特区政府公布，受香港近期一系列暴力示威活动、中美贸易摩擦以及环球经济下行影响，香港经济衰退风险显著上升。特区政府将出台价值191亿港元的“撑企业、保就业、纾民困”措施，包括派发学生津贴、减免政府收费、免除公屋住户一个月租金等。最重要的措施是减免薪俸税等税务宽免百分比，2019年香港133万人将免交工资税。（中新视频）http://t.cn/AiHOq84y ,无,无,2019-08-16 13:30 ,微博 weibo.com,93,57,190
I2tGTAhVV,吴飞鸿,吴飞鸿:#驻英大使记者会播香港局势短片##5人涉嫌侮辱国旗被香港警方拘捕# 这个厉害了！霸气十足！ 吴飞鸿的微博视频  ,无,无,2019-08-16 13:36 ,iPhone 6s,189,13,9
I2tGvAZm9,嘎日玛盖MGL,嘎日玛盖MGL:孩子被欺负了怎么办？ #嘎日玛盖聊育儿[超话]##宝宝##超级奶爸##育儿##亲子##教育##正能量##香港各界支持止暴制乱# 上海 嘎日玛盖MGL的微博视频  显示地图 ,无,#香港各界支持止暴制乱#,2019-08-16 13:35 ,iPhone XS Max,3,4,2
I2tGruJhM,和天空说声HI,和天空说声HI:#5人涉嫌侮辱国旗被香港警方拘捕#感受一下在澳留学生们的爱国情怀，不管多少次都让人好感动！！！ 和天空说声HI的微博视频  ,无,无,2019-08-16 13:35 ,iPhone客户端,98,4,8
I2tGq2ahI,新民周刊,新民周刊:【“法国蜘蛛侠”爬香港中环高楼处挂中国国旗和香港区旗】#法国蜘蛛侠爬高楼挂中国国旗#一名外籍男子16日早上8时许，爬上香港中环长江集团中心，在外墙挂起一幅印上中华人民共和国国旗及香港特区区旗的旗帜，国旗及区旗下印有黄色及红色两只手互握的图案，职员发现报警处理。据了解，挂旗帜的是有“法国蜘蛛侠”之称的罗伯特（Alain Robert）。#5人涉嫌侮辱国旗被香港警方拘捕#http://t.cn/AiHl9Lee ,无,无,2019-08-16 13:34 ,HUAWEI Mate 20 X,79,10,14
I2tGp8QzC,逗你玩系列,逗你玩系列:爱国青年们用接地气的词语问候这些香港废青！听着真的太解气了！#国泰航空两高管辞职#  #反暴力救香港大集会#  http://t.cn/AiHlCnHb  ,无,无,2019-08-16 13:34 ,微博视频,260,34,59
I2tFwq0LH,头条新闻,头条新闻:【“法国蜘蛛侠”爬香港中环高楼处挂中国国旗和香港区旗】#法国蜘蛛侠爬高楼挂中国国旗#一名外籍男子16日早上8时许，爬上香港中环长江集团中心，在外墙挂起一幅印上中华人民共和国国旗及香港特区区旗的旗帜，国旗及区旗下印有黄色及红色两只手互握的图案，职员发现报警处理。据了解，挂旗帜的是有“法国蜘蛛侠”之称的罗伯特（Alain Robert）。#5人涉嫌侮辱国旗被香港警方拘捕##亚马逊回应T恤事件#http://t.cn/AiHl9Lee ,无,无,2019-08-16 13:32 ,微博 weibo.com,23985,1938,1714
I2tCzw0sb,澳洲华厦传媒官网,澳洲华厦传媒官网:#守护香港###澳大利亚在发生香港激进分子闹事# 澳大利亚华人力挺中国##悉尼#护国正当时，今天，澳大利亚多地爆发香港人与华人的游行，澳大利亚年轻人正面硬刚港独份子！！！彩！！！！@新京报 @人民日报  澳洲华厦传媒官网的微博视频  ,无,无,2019-08-16 13:25 ,微博视频,47,9,9
I2tBZv81Q,万人如海深藏,"万人如海深藏:黄晓明应该被派去对付港独。港独：我觉得香港是独立的。黄晓明：我不要你觉得，我要我觉得。你听我的，你们不要吵了，就这样，都听我的。港独:“我要香港独立！”晓明:“那是你的问题你必须自己解决，听我的，不行自己买块地”废青“不行我一定要闹事”小明“要不你别干了” 港独：""啊～我太难了！"" 原图 ",无,无,2019-08-16 13:24 ,一看你就笑Android,5,0,0
I2tBJwiGK,SwagFuck,SwagFuck:共青团又分享说唱了🔥警帮说唱来了《撑港警》为同胞发声！《撑港警》Super Deep x Lord贺 xSuper Ban x 谭鹏 x 方仔🇨🇳🇨🇳🇨🇳 #5人涉嫌侮辱国旗被香港警方拘捕# 共青团中央的秒拍视频  ,无,无,2019-08-16 13:23,无,577,207,49
I2tBy19PM,扎西德勒-天珠收藏,扎西德勒-天珠收藏:#守护香港# 2019网络十大流行语，第一名：“港独，CNMB”！几百人一起说最有气势！挺好的！#中国一点都不能少[超话]# 扎西德勒-天珠收藏的微博视频  ,无,无,2019-08-16 13:22 ,天珠超话,5609,764,1632
I2tBvlfGO,搜狐新闻客户端,搜狐新闻客户端:【#驻英大使记者会播香港局势短片#】8月15日，中国驻英国大使刘晓明在大使馆召开的一场中外记者会上，播放了一段香港局势的视频。他说：“我们制作了一个短片，让大家看一看在西方媒体看不到的画面，听一听在西方媒体听不到的声音。”环球时报的秒拍视频  ,无,无,2019-08-16 13:22 ,搜狗高速浏览器,14,1,3
